Salt,Source,Source_Type,Temperature_C,Pressure_MPa,Molality_molkg,Conductivity_mScm,Notes,Replicate,Mixture,Conductivity_Ratio
NaCl,Pan2021,experimental,6.35,608.0,0.7978071831,33.16,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-0.15,428.0,0.8240761503,33.6,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,2.85,608.0,0.7963968144,30.61,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-3.15,428.0,0.8225714632,31.46,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-0.15,608.0,0.794991423,28.61,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-6.15,428.0,0.8218211784,29.17,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-4.15,608.0,0.7935331786120672,15.12,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-9.15,428.0,0.8203247073,27.01,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-7.15,608.0,0.7923488436721379,11.61,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-13.15,428.0,0.8188336762,24.11,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-10.15,608.0,0.7911701991876354,8.65,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-15.15,428.0,0.8180901914,22.74,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-12.15,608.0,0.790387580266668,7.26,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-18.15,428.0,0.816607265,20.11,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-14.15,608.0,0.7896074645804164,5.96,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-21.15,428.0,0.901,10.54,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-16.15,608.0,0.788829841892019,4.4,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-23.65,428.0,0.901,7.51,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-22.15,608.0,0.901,2.0,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-25.15,428.0,0.901,6.06,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-23.65,608.0,0.901,1.73,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-28.15,428.0,0.901,3.19,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-20.15,608.0,0.901,2.15,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-31.15,428.0,0.901,1.83,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-15.15,608.0,0.789218342249004,2.64,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-34.15,428.0,0.901,1.22,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-12.15,608.0,0.790387580266668,3.12,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-37.15,428.0,0.901,0.63,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-9.15,608.0,0.7915624505762257,3.63,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-40.15,428.0,0.901,0.000124,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-5.15,608.0,0.7931377658531159,5.43,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-16.15,428.0,0.8176110181891195,7.67,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-1.15,608.0,0.7947232393086294,6.64,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-13.15,428.0,0.8187722366138441,10.02,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,1.85,608.0,0.7959190613692991,7.68,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-10.15,428.0,0.8199390786930315,12.03,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,4.85,608.0,0.7971206807111011,9.09,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-7.15,428.0,0.8211115784250842,13.95,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,11.85,608.0,0.7999472082637084,13.36,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-5.15,428.0,0.8218964049745261,15.55,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,13.85,608.0,0.8007606863069643,15.6,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-0.15,428.0,0.8238696062801328,20.12,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,14.85,608.0,0.801168415319193,16.74,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,6.85,428.0,0.8266590660599087,36.07,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,16.35,608.0,0.8017812502208185,19.51,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,9.85,428.0,0.8278642822331306,38.27,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,17.85,608.0,0.8023955789553012,39.83,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,12.85,428.0,0.8290753902993142,41.18,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,18.85,1000.0,0.901,13.92,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,17.85,800.0,0.7778335163,35.99,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,15.85,1000.0,0.901,11.9,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,15.85,800.0,0.7770045508735712,19.3,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,12.85,1000.0,0.901,10.36,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,12.35,800.0,0.7755603253909814,13.96,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,9.85,1000.0,0.901,8.84,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,9.85,800.0,0.7745337439323254,11.7,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,7.85,1000.0,0.901,7.79,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,6.85,800.0,0.7733073199150657,9.26,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,5.85,1000.0,0.901,6.99,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,4.85,800.0,0.7724930036555372,7.96,molality via in-hull density interp from Pan completed rows,,False,
