Salt,Temperature_C,Molality_molkg,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,I_eff,I_formal
NaCl,90.0,0.5,1.0000000168736141e-16,0.5000000084368069,0.5000000084368069,1.0000000168736141e-16,1.0000000168736164e-16,1.0000000168736141e-16,1.0000000168736141e-16,1.0000000168736141e-16,0.5000009450272738,0.5
NaCl,5.0,0.9999,1.0000000011529125e-16,0.9999000011527973,0.9999000011527973,1.0000000011529125e-16,1.000000001152915e-16,1.0000000011529125e-16,1.0000000011529125e-16,1.0000000011529125e-16,0.9999000651466055,0.9999
NaCl,10.0,0.9999,1.000000001451885e-16,0.9999000014517397,0.9999000014517397,1.000000001451885e-16,1.0000000014518855e-16,1.000000001451885e-16,1.000000001451885e-16,1.000000001451885e-16,0.9999000820403887,0.9999
NaCl,25.0,0.9999,1.0000000027154843e-16,0.9999000027152127,0.9999000027152127,1.0000000027154843e-16,1.0000000027154868e-16,1.0000000027154843e-16,1.0000000027154843e-16,1.0000000027154843e-16,0.9999001534414844,0.9999
NaCl,35.0,0.9999,1.0000000039277389e-16,0.9999000039273461,0.9999000039273461,1.0000000039277389e-16,1.0000000039277395e-16,1.0000000039277389e-16,1.0000000039277389e-16,1.0000000039277389e-16,0.9999002219412751,0.9999
NaCl,45.0,0.9999,1.000000005493305e-16,0.9999000054927556,0.9999000054927556,1.000000005493305e-16,1.0000000054933064e-16,1.000000005493305e-16,1.000000005493305e-16,1.000000005493305e-16,0.9999003104053362,0.9999
NaCl,70.0,0.9999,1.0000000112147847e-16,0.9999000112136632,0.9999000112136632,1.0000000112147847e-16,1.0000000112147851e-16,1.0000000112147847e-16,1.0000000112147847e-16,1.0000000112147847e-16,0.9999006337039302,0.9999
NaCl,90.0,0.9999,1.000000017836903e-16,0.9999000178351194,0.9999000178351194,1.000000017836903e-16,1.0000000178369035e-16,1.000000017836903e-16,1.000000017836903e-16,1.000000017836903e-16,0.9999010078941225,0.9999
MgCl2,5.0,0.000119,1.000000000806197e-16,0.0002380000001918749,1.000000000806197e-16,0.000118998664232146,1.0000000008061978e-16,1.000000000806197e-16,1.000000000806197e-16,1.000000000806197e-16,0.000357042077505533,0.000357
MgCl2,10.0,0.000119,1.000000001013774e-16,0.00023800000024127825,1.000000001013774e-16,0.00011899823224155375,1.000000001013775e-16,1.000000001013774e-16,1.000000001013774e-16,1.000000001013774e-16,0.0003570527353641887,0.000357
MgCl2,25.0,0.000119,1.0000000018875643e-16,0.0002380000004492403,1.0000000018875643e-16,0.00011899605136275793,1.0000000018875653e-16,1.0000000018875643e-16,1.0000000018875643e-16,1.0000000018875643e-16,0.0003570968745035311,0.000357
MgCl2,35.0,0.000119,1.0000000027221762e-16,0.00023800000064787795,1.0000000027221762e-16,0.00011899344545999871,1.000000002722177e-16,1.0000000027221762e-16,1.0000000027221762e-16,1.0000000027221762e-16,0.00035713798894189706,0.000357
MgCl2,45.0,0.000119,1.0000000037967727e-16,0.00023800000090363192,1.0000000037967727e-16,0.00011898935214849753,1.0000000037967742e-16,1.0000000037967727e-16,1.0000000037967727e-16,1.0000000037967727e-16,0.00035718944923835696,0.000357
MgCl2,70.0,0.000119,1.0000000077145968e-16,0.00023800000183607406,1.0000000077145968e-16,0.00011896714899334274,1.0000000077145972e-16,1.0000000077145968e-16,1.0000000077145968e-16,1.0000000077145968e-16,0.00035736250698134114,0.000357
MgCl2,90.0,0.000119,1.0000000122768864e-16,0.00023800000292189904,1.0000000122768864e-16,0.00011892533025063072,1.0000000122768872e-16,1.0000000122768864e-16,1.0000000122768864e-16,1.0000000122768864e-16,0.00035753210549362526,0.000357
MgCl2,5.0,0.000984,1.0000000009085365e-16,0.0019680000017880004,1.0000000009085365e-16,0.0009839908918609624,1.000000000908539e-16,1.0000000009085365e-16,1.0000000009085365e-16,1.0000000009085365e-16,0.0029520322140523395,0.002952
MgCl2,10.0,0.000984,1.0000000011472802e-16,0.0019680000022578477,1.0000000011472802e-16,0.0009839880032250876,1.0000000011472825e-16,1.0000000011472802e-16,1.0000000011472802e-16,1.0000000011472802e-16,0.0029520396887587276,0.002952
MgCl2,25.0,0.000984,1.000000002171412e-16,0.0019680000042733388,1.000000002171412e-16,0.0009839736849618604,1.0000000021714143e-16,1.000000002171412e-16,1.000000002171412e-16,1.000000002171412e-16,0.002952067898915629,0.002952
